name,name_kr,bre_name,country,category,style,abv,image
222-1 Daero IPA,,Made In PONG DANG,KR,ALE,American IPA,6.5,222.jpg
226 Golden Ale,이이육,Weizenhaus,KR,ALE,Golden Ale,4,226.png
Way Home 24365,퇴근길 24365,Platinum Craft Beer,KR,PILSNER,German Pilsner,4.7,24365.jpg
365 IPA,,The Hand and Malt Brewing Company,KR,ALE,India Pale Ale,6.5,365IPA.jpg
Mr.Black Coffee & Chocolate Imperial Stout,,MysterLee Brewing Co.,KR,STOUT,American Imperial Stout,10.5,50205_MRB_CCIS_AIS.jpg
Mr. Black Coconut Imperial Stout,,MysterLee Brewing Co.,KR,STOUT,American Imperial Stout,10.5,50205_MRB_CIS_AIS.jpg
Mr.Black Coffee Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,5.9,50205_MRB_CS.jpg
Mr.Black Coffee & Cinnamon Imperial Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,11,50205_MRB_CSIS_AS.PNG
MysterLee / Deep Blue Lake Mr. Black Deep Blending Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,5.9,50205_MRB_DB_S.jpg
Mr.Black Vanilla & Cacao Nibs Porter,,MysterLee Brewing Co.,KR,PORTER,American Porter,5.9,50205_MRB_VCNP.jpg
Mr.Black Vanilla Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,5.9,50205_MRB_VS.jpg
Mr.Green Galaxy Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.3,50205_MRG_GPA_APA.jpg
MR.GREEN Hazy West Coast Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.6,50205_MRG_HWC_PA.jpg
Mr.Green Motueka Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.3,50205_MRG_M_PA.jpg
Mr.Green NE Style Pale Ale (#02),,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.9,50205_MRG_NES_APA_#2.jpg
Me.Green NE Style IPA (Vermont Yeast),,MysterLee Brewing Co.,KR,ALE,English India Pale Ale (IPA),7.1,50205_MRG_NES_IPA.jpg
Mr.Green NE Style IPA,,MysterLee Brewing Co.,KR,ALE,American IPA,7,50205_MRG_NES_IPA.PNG
Mr.Green NE Style IPA (#02),,MysterLee Brewing Co.,KR,ALE,American IPA,6.5,50205_MRG_NES_IPA_#2.jpg
Mr.Green NE Style IPA (#03),,MysterLee Brewing Co.,KR,ALE,American IPA,6.8,50205_MRG_NES_IPA_#3.jpg
Mr.Green NE Style Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.6,50205_MRG_NES_PA.jpg
Mr.Green NE Style Double IPA,,MysterLee Brewing Co.,KR,ALE,American Imperial IPA,8.1,50205_MRG_NESD_IPA.PNG
Mr.Green Passion Fruits Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.6,50205_MRG_PF_PA.jpg
Mr.Green Simcoe Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.3,50205_MRG_S_PA.jpg
